assessment_id,kid_id,activity_id,assessment_code,behaviour,advice_parents
124.0,284.0,23.0,80.0,Excessive Resistance to Routine Changes,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
125.0,297.0,7.0,35.0,Persistent Disinterest in Activities,"If the child struggles to focus during classroom activities, create a calm and organized study environment at home. Consult with a paediatrician to explore attention-related concerns."
126.0,215.0,33.0,40.0,Frequent and Intense Tantrums Beyond Age Norms,"If the child has consistent difficulty following basic instructions, practice clear communication at home. If issues persist, consult with a paediatrician to rule out any developmental or cognitive concerns."
127.0,225.0,38.0,30.0,Excessive Resistance to Routine Changes,"If the child frequently struggles with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
128.0,250.0,19.0,65.0,Extreme Hyperactivity,"If the child consistently withdraws from classroom activities, create a supportive environment at home and encourage participation in various activities. Consult with a paediatrician to ensure there are no developmental concerns."
129.0,282.0,37.0,40.0,Consistent Isolation from Peers,"If the child struggles to focus during classroom activities, create a calm and organized study environment at home. Consult with a paediatrician to explore attention-related concerns."
130.0,209.0,11.0,75.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
131.0,270.0,35.0,55.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
132.0,238.0,19.0,50.0,Extreme Difficulty in Managing Frustration,"While tantrums are common, persistent and intense outbursts may signal underlying issues. Establish clear boundaries at home and consult with a paediatrician to explore potential triggers or behavioural concerns."
133.0,211.0,37.0,75.0,Consistent Isolation from Peers,"If the child displays excessive hyperactivity, ensure a balance of physical activities and routines at home. Consult with a paediatrician to assess whether there may be attention or hyperactivity concerns."
134.0,285.0,18.0,70.0,Unusual Fixation on Certain Objects or Topics,"If the child consistently shows disinterest in activities they once enjoyed, explore new activities at home and discuss any concerns with a paediatrician to rule out emotional or developmental issues."
135.0,256.0,11.0,80.0,Persistent Trouble Making Friends,"If the child displays intense fixation, encourage a variety of interests at home. Consult with a paediatrician to rule out any obsessive behaviours or developmental concerns."
136.0,267.0,24.0,65.0,Difficulty in Following Simple Instructions,"If the child regresses in language skills, engage in consistent communication at home and consult with a paediatrician to rule out any speech or language developmental concerns."
137.0,271.0,22.0,75.0,Frequent Physical Ailments,"While tantrums are common, persistent and intense outbursts may signal underlying issues. Establish clear boundaries at home and consult with a paediatrician to explore potential triggers or behavioural concerns."
138.0,228.0,26.0,90.0,Excessive Shyness or Withdrawal,"If the child consistently withdraws from classroom activities, create a supportive environment at home and encourage participation in various activities. Consult with a paediatrician to ensure there are no developmental concerns."
139.0,227.0,32.0,70.0,Excessive Resistance to Routine Changes,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
140.0,258.0,31.0,80.0,Persistent Lack of Interest in Classroom Activities,"If the child displays intense fixation, encourage a variety of interests at home. Consult with a paediatrician to rule out any obsessive behaviours or developmental concerns."
141.0,264.0,16.0,70.0,Extreme Hyperactivity,"If the child consistently isolates themselves from peers, encourage social interactions at home and consult with a paediatrician to ensure there are no emotional or developmental concerns."
142.0,219.0,25.0,70.0,Extreme Difficulty in Managing Frustration,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
143.0,224.0,24.0,50.0,Unusual Fixation on Certain Objects or Topics,"If the child has consistent difficulty following basic instructions, practice clear communication at home. If issues persist, consult with a paediatrician to rule out any developmental or cognitive concerns."
144.0,234.0,31.0,100.0,Persistent Inability to Follow Simple Instructions,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
145.0,280.0,27.0,80.0,Persistent Trouble Making Friends,"If the child consistently shows disinterest in activities they once enjoyed, explore new activities at home and discuss any concerns with a paediatrician to rule out emotional or developmental issues."
146.0,252.0,14.0,90.0,Persistent Lack of Interest in Classroom Activities,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
147.0,221.0,8.0,45.0,Extreme Difficulty in Sharing or Taking Turns,"If the child consistently withdraws or is excessively shy in class, try to create a supportive environment at home. Encourage social interactions through play-dates and consult with a paediatrician to ensure there are no developmental concerns."
148.0,262.0,22.0,90.0,Extreme Hyperactivity Beyond Typical Toddler Energy,"If the child regresses in language skills, engage in consistent communication at home and consult with a paediatrician to rule out any speech or language developmental concerns."
149.0,226.0,8.0,85.0,Extreme Hyperactivity,"If the child consistently shows disinterest in activities they once enjoyed, explore new activities at home and discuss any concerns with a paediatrician to rule out emotional or developmental issues."
150.0,216.0,37.0,65.0,Difficulty in Engaging with Others,"If the child consistently withdraws from classroom activities, create a supportive environment at home and encourage participation in various activities. Consult with a paediatrician to ensure there are no developmental concerns."
151.0,208.0,21.0,55.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
152.0,242.0,1.0,70.0,Frequent Physical Ailments,No abnormal behaviour
153.0,269.0,30.0,85.0,Extreme Hyperactivity,"If the child struggles to focus during classroom activities, create a calm and organized study environment at home. Consult with a paediatrician to explore attention-related concerns."
154.0,236.0,16.0,75.0,Extreme Difficulty in Managing Frustration,"If the child displays excessive hyperactivity, ensure a balance of physical activities and routines at home. Consult with a paediatrician to assess whether there may be attention or hyperactivity concerns."
155.0,202.0,24.0,45.0,Frequent and Intense Tantrums Beyond Age Norms,"If the child displays excessive hyperactivity, ensure a balance of physical activities and routines at home. Consult with a paediatrician to assess whether there may be attention or hyperactivity concerns."
156.0,205.0,21.0,100.0,Persistent Trouble Making Friends,"If the child frequently struggles with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
157.0,291.0,3.0,25.0,Extreme Difficulty in Managing Frustration,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
158.0,296.0,31.0,55.0,Persistent Inability to Follow Simple Instructions,"If the child displays intense fixation, encourage a variety of interests at home. Consult with a paediatrician to rule out any obsessive behaviours or developmental concerns."
159.0,223.0,9.0,55.0,Excessive Withdrawal from Classroom Activities,"If the child has consistent difficulty following basic instructions, practice clear communication at home. If issues persist, consult with a paediatrician to rule out any developmental or cognitive concerns."
160.0,246.0,39.0,95.0,Extreme Hyperactivity,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
161.0,275.0,4.0,60.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles to focus during classroom activities, create a calm and organized study environment at home. Consult with a paediatrician to explore attention-related concerns."
162.0,241.0,19.0,75.0,Extreme Aggressiveness Towards Peers,"If the child displays excessive hyperactivity, ensure a balance of physical activities and routines at home. Consult with a paediatrician to assess whether there may be attention or hyperactivity concerns."
163.0,230.0,12.0,25.0,Frequent and Intense Tantrums Beyond Age Norms,"If the child consistently withdraws from classroom activities, create a supportive environment at home and encourage participation in various activities. Consult with a paediatrician to ensure there are no developmental concerns."
164.0,232.0,36.0,75.0,Persistent Lack of Interest in Classroom Activities,"If the child regresses in language skills, engage in consistent communication at home and consult with a paediatrician to rule out any speech or language developmental concerns."
165.0,212.0,25.0,65.0,Extreme Difficulty in Managing Frustration,"If the child consistently isolates themselves from peers, encourage social interactions at home and consult with a paediatrician to ensure there are no emotional or developmental concerns."
166.0,289.0,21.0,75.0,Persistent Trouble Making Friends,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
167.0,255.0,26.0,55.0,Consistent Isolation from Peers,"If the child frequently complains of physical ailments without apparent cause, consult with a paediatrician to rule out any underlying health concerns and ensure the child's overall well-being."
168.0,206.0,22.0,50.0,Persistent Inattention during Classroom Activities,"If the child regresses in language skills, engage in consistent communication at home and consult with a paediatrician to rule out any speech or language developmental concerns."
169.0,247.0,15.0,95.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
170.0,263.0,26.0,55.0,Regression in Language or Communication Skills,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
171.0,220.0,9.0,30.0,Extreme Hyperactivity,No abnormal behaviour
172.0,261.0,10.0,65.0,Consistent and Intense Tantrums,"If the child consistently withdraws or is excessively shy in class, try to create a supportive environment at home. Encourage social interactions through play-dates and consult with a paediatrician to ensure there are no developmental concerns."
173.0,203.0,3.0,40.0,Persistent Lack of Interest in Classroom Activities,"If the child consistently isolates themselves from peers, encourage social interactions at home and consult with a paediatrician to ensure there are no emotional or developmental concerns."
174.0,210.0,27.0,30.0,Persistent Inattention during Classroom Activities,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
175.0,268.0,3.0,30.0,Unusual Fixation on Certain Objects or Topics,"If the child consistently withdraws or is excessively shy in class, try to create a supportive environment at home. Encourage social interactions through play-dates and consult with a paediatrician to ensure there are no developmental concerns."
176.0,299.0,40.0,40.0,Frequent Physical Complaints Without Apparent Cause,"While tantrums are common, persistent and intense outbursts may signal underlying issues. Establish clear boundaries at home and consult with a paediatrician to explore potential triggers or behavioural concerns."
177.0,266.0,8.0,50.0,Consistent Isolation from Peers,"If the child struggles to focus during classroom activities, create a calm and organized study environment at home. Consult with a paediatrician to explore attention-related concerns."
178.0,265.0,22.0,65.0,Frequent Physical Complaints Without Apparent Cause,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
179.0,240.0,29.0,55.0,Extreme Aggressiveness Towards Peers,"If the child frequently complains of physical ailments without apparent cause, consult with a paediatrician to rule out any underlying health concerns and ensure the child's overall well-being."
180.0,257.0,33.0,50.0,Difficulty in Engaging with Others,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
181.0,295.0,29.0,80.0,Extreme Hyperactivity Beyond Typical Toddler Energy,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
182.0,251.0,34.0,55.0,Extreme Difficulty in Managing Frustration,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
183.0,253.0,14.0,95.0,Frequent and Intense Tantrums Beyond Age Norms,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
184.0,273.0,15.0,65.0,Consistent Isolation from Peers,"While tantrums are common, persistent and intense outbursts may signal underlying issues. Establish clear boundaries at home and consult with a paediatrician to explore potential triggers or behavioural concerns."
185.0,298.0,29.0,65.0,Persistent Lack of Interest in Classroom Activities,"If the child consistently isolates themselves from peers, encourage social interactions at home and consult with a paediatrician to ensure there are no emotional or developmental concerns."
186.0,204.0,1.0,30.0,Excessive Withdrawal from Classroom Activities,"If the child displays intense fixation, encourage a variety of interests at home. Consult with a paediatrician to rule out any obsessive behaviours or developmental concerns."
187.0,207.0,32.0,35.0,Regression in Language Skills,"If the child regresses in language skills, engage in consistent communication at home and consult with a paediatrician to rule out any speech or language developmental concerns."
188.0,239.0,2.0,90.0,Regression in Language or Communication Skills,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
189.0,213.0,39.0,100.0,Consistent and Intense Tantrums,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
190.0,260.0,36.0,100.0,Frequent Physical Complaints Without Apparent Cause,"If the child frequently complains of physical ailments without apparent cause, consult with a paediatrician to rule out any underlying health concerns and ensure the child's overall well-being."
191.0,200.0,29.0,50.0,Extreme Difficulty in Sharing or Taking Turns,"If the child has consistent difficulty following basic instructions, practice clear communication at home. If issues persist, consult with a paediatrician to rule out any developmental or cognitive concerns."
192.0,214.0,14.0,80.0,Regression in Language or Communication Skills,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
193.0,249.0,6.0,40.0,Persistent Disinterest in Activities,No abnormal behaviour
194.0,259.0,29.0,50.0,Extreme Difficulty in Managing Frustration,"If the child displays intense fixation, encourage a variety of interests at home. Consult with a paediatrician to rule out any obsessive behaviours or developmental concerns."
195.0,281.0,14.0,90.0,Excessive Resistance to Routine Changes,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
196.0,286.0,37.0,100.0,Extreme Hyperactivity,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
197.0,237.0,3.0,30.0,Consistent Isolation from Peers,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
198.0,248.0,2.0,75.0,Frequent Physical Complaints Without Apparent Cause,"If the child displays excessive hyperactivity, ensure a balance of physical activities and routines at home. Consult with a paediatrician to assess whether there may be attention or hyperactivity concerns."
199.0,229.0,17.0,85.0,Extreme Hyperactivity,"If the child regresses in language skills, engage in consistent communication at home and consult with a paediatrician to rule out any speech or language developmental concerns."
200.0,231.0,9.0,65.0,Extreme Difficulty in Sharing or Taking Turns,"If the child has consistent difficulty following basic instructions, practice clear communication at home. If issues persist, consult with a paediatrician to rule out any developmental or cognitive concerns."
